transaction_id,timestamp,amount,currency,channel_id,channel_description,payment_method,settlement_date,actual_settlement_date,reconciliation_status,processing_fee,reference_number,settlement_delay_days,is_anomaly,anomaly_type,anomaly_reason,hour,day_of_week,is_weekend,is_business_hours,channel_avg_amount,channel_std_amount,amount_deviation
TXN_F46FF654,2024-01-01 13:05:00,162.8,EUR,CHANNEL_005,NDC,DIGITAL_WALLET,2024-01-02,2024-01-02,MATCHED,3.58,REF_769191,0,False,,,13,0,False,True,241.44414893617022,171.1966887643904,0.4593789138317056
TXN_DC41A808,2024-01-01 14:53:00,547.67,EUR,CHANNEL_010,PBL,AMOP,2024-01-02,2024-01-02,MATCHED,16.12,REF_386578,0,False,,,14,0,False,True,385.4075653356448,1550.0644555145593,0.10468108863930471
TXN_9E362E90,2024-01-01 16:52:00,365.68,USD,CHANNEL_003,Staff Travel,AMOP,2024-01-02,2024-01-02,MATCHED,7.09,REF_892170,0,False,,,16,0,False,True,495.366892976174,1638.3171994323789,0.07915859823793955
TXN_117DA53B,2024-01-02 00:43:00,774.73,EUR,CHANNEL_003,Staff Travel,AMOP,2024-01-05,2024-01-05,MATCHED,21.62,REF_185090,0,False,,,0,1,False,False,495.366892976174,1638.3171994323789,0.17051832643923645
TXN_100DBCE5,2024-01-02 03:49:00,132.86,GBP,CHANNEL_007,Airlines Holidays,CARD,2024-01-05,2024-01-05,MATCHED,3.47,REF_361303,0,False,,,3,1,False,False,289.37843749999996,201.46105413533996,0.7769166014333078
TXN_ACF162B0,2024-01-02 16:47:00,119.36,USD,CHANNEL_001,Airlines.com,DIGITAL_WALLET,2024-01-04,2024-01-04,MATCHED,3.2,REF_285810,0,False,,,16,1,False,True,529.5399166114732,1898.670997744395,0.2160352778858283
TXN_9878BA64,2024-01-02 16:49:00,125.86,USD,CHANNEL_010,PBL,CARD,2024-01-03,2024-01-03,MATCHED,3.58,REF_444622,0,False,,,16,1,False,True,385.4075653356448,1550.0644555145593,0.16744307916504375
TXN_D59CDCEB,2024-01-02 17:35:00,175.05,GBP,CHANNEL_007,Airlines Holidays,CARD,2024-01-04,2024-01-04,MATCHED,3.6,REF_626611,0,False,,,17,1,False,True,289.37843749999996,201.46105413533996,0.5674964721627784
TXN_F83CA7C5,2024-01-03 03:40:00,697.15,USD,CHANNEL_007,Airlines Holidays,AMOP,2024-01-06,2024-01-06,UNMATCHED,17.25,REF_138815,0,False,,,3,2,False,False,289.37843749999996,201.46105413533996,2.0240714228868386
TXN_A791B9ED,2024-01-03 07:05:00,208.04,USD,CHANNEL_003,Staff Travel,CARD,2024-01-05,2024-01-05,MATCHED,2.98,REF_489438,0,False,,,7,2,False,False,495.366892976174,1638.3171994323789,0.17537928129895908
TXN_DE4B4263,2024-01-03 21:15:00,96.81,GBP,CHANNEL_010,PBL,DIGITAL_WALLET,2024-01-04,2024-01-04,MATCHED,2.43,REF_693297,0,False,,,21,2,False,False,385.4075653356448,1550.0644555145593,0.18618423531287412
TXN_C944AB88,2024-01-03 22:21:00,397.76,EUR,CHANNEL_002,Mobile App,AMOP,2024-01-04,2024-01-04,MATCHED,5.03,REF_945106,0,False,,,22,2,False,False,289.71385321100917,220.87662228085722,0.48916968067179145
TXN_5862FEFF,2024-01-04 08:26:00,155.21,EUR,CHANNEL_004,New .com,DIGITAL_WALLET,2024-01-05,2024-01-05,MATCHED,4.62,REF_560623,0,False,,,8,3,False,False,413.8197789891696,956.7559280432754,0.2702985906949848
TXN_82B29909,2024-01-04 16:13:00,412.51,GBP,CHANNEL_004,New .com,AMOP,2024-01-07,2024-01-08,MATCHED,11.56,REF_628687,1,False,,,16,3,False,True,413.8197789891696,956.7559280432754,0.0013689792252955574
TXN_73E2FC19,2024-01-04 23:27:00,187.1,USD,CHANNEL_004,New .com,CARD,2024-01-05,2024-01-19,UNMATCHED,3.5,REF_256206,27,True,settlement_delay,Excessive settlement delay detected.,23,3,False,False,413.8197789891696,956.7559280432754,0.2369672058921539
TXN_0CA132A4,2024-01-05 08:50:00,190.4,EUR,CHANNEL_004,New .com,CARD,2024-01-08,2024-01-08,MATCHED,5.1,REF_736333,0,False,,,8,4,False,False,413.8197789891696,956.7559280432754,0.2335180503622278
TXN_BEFC37A6,2024-01-05 11:50:00,218.51,GBP,CHANNEL_002,Mobile App,AMOP,2024-01-08,2024-01-08,MATCHED,5.39,REF_893435,0,False,,,11,4,False,True,289.71385321100917,220.87662228085722,0.3223693502541406
TXN_948BF2A5,2024-01-06 00:00:00,631.31,GBP,CHANNEL_010,PBL,AMOP,2024-01-15,2024-01-15,MATCHED,18.86,REF_725084,0,True,weekend_processing,"Transaction processed on a weekend, which is unusual.",0,5,True,False,385.4075653356448,1550.0644555145593,0.15864013511794606
