is_anomaly,data_file_date,total_transaction_value_rejected,anomaly_reason,total_accepted,total_rejected,rejection_reason_code,transaction_datetime,total_submitted,total_pending,settlement_date,record_type,total_transaction_value_accepted,mcc,record_count,total_transaction_value_pending,merchant_id,transaction_currency,anomaly_type,transaction_amount,party_id,total_settlement_value_accepted
,20250720,0,,475,10,,,500,15,,00,0,,,0,,,,,AL001,0
False,20250720,,,,,,20250606 213937,,,20250616,01,,4111,,,AL004,GBP,,78.58,AL001,
False,20250720,,,,,,20250430 213937,,,20250510,01,,4789,,,AL007,USD,,214.69,AL001,
False,20250720,,,,,,20250514 213937,,,20250524,01,,4511,,,AL004,GBP,,181.48,AL001,
False,20250720,,,,,,20250709 213937,,,20250717,01,,4511,,,AL008,USD,,180.25,AL001,
False,20250720,,,,,,20250703 213937,,,20250709,01,,4789,,,AL002,GBP,,157.48,AL001,
False,20250720,,,,,,20250522 213937,,,20250525,01,,4511,,,AL009,GBP,,203.29,AL001,
False,20250720,,,,,,20250421 213937,,,20250422,01,,4511,,,AL002,EUR,,151.14,AL001,
False,20250720,,,,,,20250508 213937,,,20250518,01,,4111,,,AL004,USD,,197.03,AL001,
False,20250720,,,,,,20250528 213937,,,20250603,01,,4511,,,AL008,GBP,,71.75,AL001,
False,20250720,,,,,,20250614 213937,,,20250622,01,,4511,,,AL009,GBP,,207.88,AL001,
True,20250720,,"Transaction is pending settlement, which is unusual for this age.",,,,20250603 213937,,,20250609,02,,4511,,,AL009,USD,pending_transaction,143.74,AL001,
False,20250720,,,,,,20250429 213937,,,20250501,01,,4511,,,AL002,EUR,,223.25,AL001,
False,20250720,,,,,,20250621 213937,,,20250629,01,,4789,,,AL009,GBP,,118.6,AL001,
False,20250720,,,,,,20250429 213937,,,20250504,01,,4111,,,AL000,USD,,126.89,AL001,
True,20250720,,"Transaction is pending settlement, which is unusual for this age.",,,,20250713 213937,,,20250715,02,,4111,,,AL008,EUR,pending_transaction,101.67,AL001,
True,20250720,,Rejected transaction: 1610111253 - see DART spec for reason.,,,1610111253,20250628 213937,,,20250629,03,,4789,,,AL004,USD,rejected_transaction,177.01,AL001,
False,20250720,,,,,,20250630 213937,,,20250701,01,,4511,,,AL000,EUR,,100.65,AL001,
False,20250720,,,,,,20250505 213937,,,20250509,01,,4789,,,AL001,EUR,,102.62,AL001,
False,20250720,,,,,,20250605 213937,,,20250606,01,,4511,,,AL008,EUR,,161.2,AL001,
False,20250720,,,,,,20250512 213937,,,20250522,01,,4511,,,AL005,EUR,,193.67,AL001,
False,20250720,,,,,,20250607 213937,,,20250609,01,,4111,,,AL008,GBP,,89.02,AL001,
True,20250720,,"Duplicate transaction detected (same PAN, amount, timestamp).",,,,20250622 213937,,,20250630,01,,4511,,,AL000,EUR,duplicate_transaction,197.42,AL001,
False,20250720,,,,,,20250623 213937,,,20250629,01,,4511,,,AL004,USD,,145.29,AL001,
False,20250720,,,,,,20250620 213937,,,20250621,01,,4511,,,AL001,USD,,127.51,AL001,
True,20250720,,"Duplicate transaction detected (same PAN, amount, timestamp).",,,,20250609 213937,,,20250610,01,,4111,,,AL009,EUR,duplicate_transaction,180.72,AL001,
False,20250720,,,,,,20250719 213937,,,20250726,01,,4111,,,AL005,GBP,,175.4,AL001,
False,20250720,,,,,,20250529 213937,,,20250607,01,,4789,,,AL006,GBP,,114.29,AL001,
False,20250720,,,,,,20250625 213937,,,20250704,01,,4789,,,AL007,USD,,128.02,AL001,
False,20250720,,,,,,20250602 213937,,,20250609,01,,4511,,,AL008,EUR,,166.43,AL001,
False,20250720,,,,,,20250503 213937,,,20250507,01,,4789,,,AL003,GBP,,230.3,AL001,
False,20250720,,,,,,20250512 213937,,,20250517,01,,4511,,,AL000,GBP,,173.37,AL001,
True,20250720,,Rejected transaction: 1610111253 - see DART spec for reason.,,,1610111253,20250625 213937,,,20250705,03,,4789,,,AL003,GBP,rejected_transaction,213.8,AL001,
False,20250720,,,,,,20250530 213937,,,20250602,01,,4111,,,AL001,USD,,229.57,AL001,
False,20250720,,,,,,20250706 213937,,,20250713,01,,4511,,,AL001,EUR,,133.34,AL001,
False,20250720,,,,,,20250618 213937,,,20250625,01,,4789,,,AL009,USD,,210.88,AL001,
True,20250720,,"Transaction is pending settlement, which is unusual for this age.",,,,20250430 213937,,,20250507,02,,4789,,,AL006,USD,pending_transaction,119.42,AL001,
False,20250720,,,,,,20250620 213937,,,20250626,01,,4111,,,AL003,USD,,145.74,AL001,
False,20250720,,,,,,20250515 213937,,,20250524,01,,4789,,,AL002,USD,,102.74,AL001,
False,20250720,,,,,,20250704 213937,,,20250714,01,,4511,,,AL000,EUR,,159.56,AL001,
False,20250720,,,,,,20250629 213937,,,20250708,01,,4111,,,AL003,GBP,,149.34,AL001,
False,20250720,,,,,,20250706 213937,,,20250716,01,,4789,,,AL000,USD,,174.33,AL001,
False,20250720,,,,,,20250629 213937,,,20250709,01,,4511,,,AL008,EUR,,184.22,AL001,
False,20250720,,,,,,20250617 213937,,,20250625,01,,4111,,,AL007,USD,,136.44,AL001,
False,20250720,,,,,,20250514 213937,,,20250522,01,,4789,,,AL004,EUR,,222.7,AL001,
False,20250720,,,,,,20250606 213937,,,20250609,01,,4111,,,AL008,EUR,,160.71,AL001,
False,20250720,,,,,,20250426 213937,,,20250505,01,,4789,,,AL008,GBP,,218.38,AL001,
True,20250720,,"Transaction is pending settlement, which is unusual for this age.",,,,20250711 213937,,,20250718,02,,4511,,,AL009,GBP,pending_transaction,76.89,AL001,
