transaction_id,message_type,timestamp,settlement_date,channel_id,card_scheme,currency,amount,interchange_fee,scheme_fee,acquirer_fee,net_settlement,batch_id,settlement_status,processing_time_ms,auth_code,reference_number,hour_of_day,day_of_week,fee_rate,is_anomaly,anomaly_type,
TXN_20250625_000000,DART_312,6/25/2025 17:35,6/25/2025,BA_PARTNER_001,AMEX,GBP,626.93,15.67,3.76,3.13,604.37,BATCH_20250625_16,COMPLETED,1485,AUTH_876646,REF_2458591,17,2,0.036,FALSE,,
TXN_20250627_000001,DART_312,6/27/2025 7:34,6/27/2025,BA_ECOM_001,VISA,GBP,853.6,12.8,3.41,4.27,833.12,BATCH_20250627_04,COMPLETED,1249,AUTH_308496,REF_8038374,7,4,0.024,FALSE,,
TXN_20250708_000002,DART_312,7/8/2025 5:59,7/8/2025,BA_MOBILE_001,VISA,GBP,693.09,10.4,2.77,3.47,676.45,BATCH_20250708_04,COMPLETED,418,AUTH_325772,REF_6647119,5,1,0.024,FALSE,,
TXN_20250712_000003,DART_312,7/12/2025 18:12,7/12/2025,BA_ECOM_001,AMEX,USD,2379.89,59.5,14.28,11.9,2294.21,BATCH_20250712_16,COMPLETED,1594,AUTH_581741,REF_9996414,18,5,0.036,FALSE,,
TXN_20250712_000004,DART_312,7/12/2025 8:31,7/12/2025,BA_CALLCENTER_001,AMEX,EUR,2974.58,74.36,17.85,14.87,2867.5,BATCH_20250712_08,COMPLETED,1282,AUTH_301629,REF_2166941,8,5,0.036,FALSE,,
TXN_20250713_000005,DART_312,7/13/2025 23:22,7/13/2025,BA_PARTNER_002,AMEX,GBP,1900.26,47.51,11.4,9.5,1831.85,BATCH_20250713_20,COMPLETED,878,AUTH_391476,REF_8606962,23,6,0.036,FALSE,,
TXN_20250625_000006,DART_312,6/25/2025 9:26,6/25/2025,BA_MOBILE_001,AMEX,GBP,907.52,22.69,5.45,4.54,874.84,BATCH_20250625_08,COMPLETED,1499,AUTH_779514,REF_2197935,9,2,0.036,FALSE,,
TXN_20250626_000007,DART_312,6/26/2025 0:26,6/26/2025,BA_CALLCENTER_001,MASTERCARD,GBP,1299.28,18.19,4.55,6.5,1270.04,BATCH_20250626_00,COMPLETED,1995,AUTH_771088,REF_4684531,0,3,0.0225,FALSE,,
TXN_20250624_000008,DART_312,6/24/2025 9:43,6/24/2025,BA_PARTNER_002,VISA,GBP,1749.33,26.24,7,8.75,1707.34,BATCH_20250624_08,COMPLETED,921,AUTH_380746,REF_2110460,9,1,0.024,FALSE,,
TXN_20250709_000009,DART_312,7/9/2025 1:40,7/9/2025,BA_PARTNER_001,AMEX,GBP,967.2,24.18,5.8,4.84,932.38,BATCH_20250709_00,COMPLETED,1972,AUTH_774079,REF_8698256,1,2,0.036,FALSE,,
