transaction_id,message_type,timestamp,settlement_date,merchant_id,card_scheme,currency,amount,interchange_fee,scheme_fee,acquirer_fee,net_settlement,batch_id,settlement_status,processing_time_ms,auth_code,reference_number,hour_of_day,day_of_week,fee_rate,settlement_accuracy,is_anomaly,anomaly_type
TXN_20250625_000000,DART_312,2025-06-25 15:40:16.908787,2025-06-25,BA_PARTNER_001,AMEX,GBP,99.09,2.48,0.59,0.5,95.52,BATCH_20250625_12,COMPLETED,557,AUTH_246316,REF_2719583,15,2,0.036027853466545565,1.0,False,
TXN_20250623_000001,DART_312,2025-06-23 18:44:16.908927,2025-06-23,BA_CALLCENTER_001,VISA,EUR,46.25,0.69,0.18,0.23,45.15,BATCH_20250623_16,COMPLETED,964,AUTH_133326,REF_1499914,18,0,0.02378378378378378,0.9999999999999999,False,
TXN_20250713_000002,DART_312,2025-07-13 12:27:16.908958,2025-07-13,BA_CALLCENTER_001,VISA,EUR,118.77,1.78,0.48,0.59,115.92,BATCH_20250713_12,COMPLETED,507,AUTH_850800,REF_8038374,12,6,0.023995958575397824,1.0000000000000002,False,
TXN_20250708_000003,DART_312,2025-07-08 04:04:16.908978,2025-07-08,BA_MOBILE_001,VISA,GBP,111.99,1.68,0.45,0.56,109.3,BATCH_20250708_04,COMPLETED,1529,AUTH_543143,REF_6708456,4,1,0.02402000178587374,1.0000000000000002,False,
TXN_20250707_000004,DART_312,2025-07-07 14:28:16.909061,2025-07-07,BA_PARTNER_002,AMEX,GBP,41.22,1.03,0.25,0.21,39.73,BATCH_20250707_12,COMPLETED,289,AUTH_498382,REF_2622631,14,0,0.0361475012130034,1.0,False,
TXN_20250704_000005,DART_312,2025-07-04 07:03:16.909081,2025-07-04,BA_MOBILE_001,VISA,EUR,27.46,0.41,0.11,0.14,26.8,BATCH_20250704_04,COMPLETED,1040,AUTH_662275,REF_3094235,7,4,0.024034959941733432,1.0,False,
TXN_20250616_000006,DART_312,2025-06-16 06:36:16.909095,2025-06-16,BA_CALLCENTER_001,AMEX,EUR,363.24,9.08,2.18,1.82,350.16,BATCH_20250616_04,COMPLETED,1366,AUTH_479201,REF_4226067,6,0,0.036009250082590025,1.0,False,
TXN_20250623_000007,DART_312,2025-06-23 16:39:16.909110,2025-06-23,BA_PARTNER_001,MASTERCARD,USD,137.13,1.92,0.48,0.69,134.04,BATCH_20250623_16,COMPLETED,263,AUTH_996865,REF_4905582,16,0,0.02253336250273463,0.9999999999999998,False,
TXN_20250618_000008,DART_312,2025-06-18 15:17:16.909123,2025-06-18,BA_MOBILE_001,DISCOVER,EUR,22.75,0.36,0.09,0.11,22.19,BATCH_20250618_12,COMPLETED,1808,AUTH_482554,REF_3728882,15,2,0.024615384615384612,1.0,False,
TXN_20250704_000009,DART_312,2025-07-04 07:28:16.909136,2025-07-04,BA_PARTNER_001,AMEX,EUR,104.7,2.62,0.63,0.52,100.93,BATCH_20250704_04,COMPLETED,1499,AUTH_779514,REF_2197935,7,4,0.03600764087870105,1.0,False,
TXN_20250625_000010,DART_312,2025-06-25 22:31:16.909147,2025-06-25,BA_CALLCENTER_001,MASTERCARD,GBP,31.31,0.44,0.11,0.16,30.6,BATCH_20250625_20,COMPLETED,1046,AUTH_497887,REF_5528972,22,2,0.02267646119450655,1.0000000000000002,False,
TXN_20250615_000011,DART_312,2025-06-15 21:57:16.909160,2025-06-15,BA_CALLCENTER_001,MASTERCARD,EUR,31.22,0.44,0.11,0.16,30.51,BATCH_20250615_20,COMPLETED,764,AUTH_983794,REF_1938483,21,6,0.02274183215887252,1.0000000000000002,False,
TXN_20250708_000012,DART_312,2025-07-08 16:50:16.909172,2025-07-08,BA_MOBILE_001,DISCOVER,USD,40.19,0.64,0.16,0.2,39.19,BATCH_20250708_16,COMPLETED,235,AUTH_321231,REF_6279418,16,1,0.024881811395869622,1.0,False,
TXN_20250708_000013,DART_312,2025-07-08 22:10:16.909185,2025-07-08,BA_KIOSK_001,DISCOVER,GBP,10.0,0.16,0.04,0.05,9.75,BATCH_20250708_20,COMPLETED,642,AUTH_246413,REF_5137722,22,1,0.025,1.0,False,
TXN_20250622_000014,DART_312,2025-06-22 01:07:16.909196,2025-06-22,BA_MOBILE_001,DISCOVER,EUR,10.0,0.16,0.04,0.05,9.75,BATCH_20250622_00,COMPLETED,917,AUTH_479580,REF_4679591,1,6,0.025,1.0,False,
TXN_20250711_000015,DART_312,2025-07-11 02:10:16.909210,2025-07-11,BA_ECOM_001,VISA,GBP,84.58,1.27,0.34,0.42,82.55,BATCH_20250711_00,COMPLETED,413,AUTH_757924,REF_3684052,2,4,0.024000945850082764,1.0,False,
TXN_20250619_000016,DART_312,2025-06-19 21:14:16.909234,2025-06-19,BA_CALLCENTER_001,VISA,USD,16.19,0.24,0.06,0.08,15.81,BATCH_20250619_20,COMPLETED,881,AUTH_724834,REF_8852574,21,3,0.023471278567016675,1.0,False,
TXN_20250629_000017,DART_312,2025-06-29 10:06:16.909250,2025-06-29,BA_PARTNER_002,VISA,EUR,79.61,1.19,0.32,0.4,77.7,BATCH_20250629_08,COMPLETED,1576,AUTH_220116,REF_5476583,10,6,0.023991960808943603,1.0,False,
TXN_20250620_000018,DART_312,2025-06-20 22:20:16.909262,2025-06-20,BA_ECOM_001,AMEX,USD,59.86,1.5,0.36,0.3,57.7,BATCH_20250620_20,COMPLETED,423,AUTH_575763,REF_1054447,22,4,0.03608419645840293,1.0,False,
